Group,Qty,Manufacturer,Exact item,Why needed,Approx price USD,Source,Status,Compatible alternative
Already owned,1,RadioMaster,T8L,Donor gimbals controls and ELRS radio,0,User-owned,OWNED,None
Compute,1,Raspberry Pi,CM4104032 Compute Module 4 4GB RAM 32GB eMMC,Documented CSI/DSI and H.264 prototype compute,85,https://www.raspberrypi.com/products/compute-module-4/,ORDER NOW,Another eMMC CM4 with >=2GB RAM
Compute,1,Raspberry Pi,Compute Module 4 IO Board,Known-good carrier with two CSI and two DSI connectors,45,https://www.raspberrypi.com/products/compute-module-4-io-board/,ORDER NOW,Verified CM4 carrier exposing both MIPI ports
Compute,1,Raspberry Pi,27W USB-C power supply or regulated 12V 2A adapter,Safe CM4IO bench power,15,https://www.raspberrypi.com/products/27w-power-supply/,ORDER NOW,Current-limited bench supply per CM4IO datasheet
Display,1,Waveshare,6.25inch DSI LCD (B) SKU 35000,Selected 720x1560 500-nit five-touch prototype display,59.99,https://www.waveshare.com/6.25inch-dsi-lcd-b.htm,ORDER NOW,Pi Touch Display 2 5-inch fallback
Video,1,Analog Devices,EVAL-ADV7282AMEBZ,ADV7282A-M CVBS-to-one-lane-CSI evaluation kit; SMA CSI output,300 allowance,https://www.analog.com/en/resources/evaluation-hardware-and-software/evaluation-boards-kits/eval-adv7282a-m.html,VERIFY STOCK AND BRIDGE,Exact older Pi-tested EVAL-ADV7282MEBZ if genuinely available
Video,1,Skyzone,SteadyView X ground-station kit,Dual 5.8GHz VRX with standalone CVBS output,150,https://www.skyzonefpv.com/en-de/products/skyzone-stvx-steadyview-x-receiver,ORDER NOW,TBS Fusion only if available for A/B
Video,2,Known RF vendor,5.8GHz 50-ohm SMA antennas one omni one patch,VRX diversity reception,50,Match connector gender to receiver,ORDER NOW,Two quality omni antennas for initial bench
Controller,1,STMicroelectronics,NUCLEO-G0B1RE,Bring-up firmware before custom board,25,https://www.st.com/en/evaluation-tools/nucleo-g0b1re.html,ORDER NOW,NUCLEO-G0B1 development equivalent
Debug,1,STMicroelectronics,STLINK-V3MINIE,SWD debugging for custom MCU,15,https://www.st.com/en/development-tools/stlink-v3minie.html,ORDER NOW,On-board Nucleo ST-LINK during early tests
Debug,1,Saleae,Logic 8,Protocol and timing debug,499,https://www.saleae.com/products/saleae-logic-8,OPTIONAL,Known-good 8-channel 24MHz+ analyzer
Storage,1,SanDisk,High Endurance 128GB microSD,DVR/removable media test,20,https://www.westerndigital.com/products/memory-cards/sandisk-high-endurance-uhs-i-microsd,ORDER NOW,Industrial/high-endurance 64GB+
